Player,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Terance Mann,6.8,3.8,2.3,0.3,0.0,0.458,0.75,0.5,1.0,4,23.2,0.8,2.3,7.5,2.0
Ryan Kalkbrenner,6.7,4.0,0.7,2.0,0.3,0.63,0.6,0.0,0.3,6,16.7,1.0,2.8,2.0,1.0
Nolan Traore,6.7,1.5,3.5,0.3,0.3,0.319,0.5,1.2,2.5,6,18.8,0.5,1.3,9.1,1.8
Bryce McGowens,6.7,3.0,1.7,1.0,0.7,0.462,1.0,0.3,0.3,3,20.7,2.3,1.7,3.0,1.3
Jaylon Tyson,6.6,2.2,1.8,0.2,0.0,0.353,1.0,1.4,1.0,5,19.4,0.4,1.0,6.0,2.2
Dalen Terry,6.6,2.0,3.0,0.8,0.2,0.519,0.5,0.4,0.4,5,20.4,0.6,2.4,6.0,2.0
Rasheer Fleming,6.5,3.5,0.3,0.9,0.4,0.487,0.4,1.5,0.4,8,17.6,0.5,0.8,1.0,1.4
Spencer Jones,6.5,3.7,0.7,0.5,1.0,0.5,0.0,0.8,0.2,6,20.9,0.0,2.0,0.0,2.5
Corey Kispert,6.5,1.7,2.0,0.0,0.0,0.4,0.875,0.7,0.2,6,14.5,1.2,1.7,4.0,1.0
Seth Curry,6.5,1.0,2.0,0.0,0.0,0.5,1.0,1.0,0.0,2,9.6,1.5,1.0,0.0,0.0
John Poulakidas,6.5,2.5,0.0,0.0,1.0,0.455,0.0,1.5,0.5,2,16.2,0.0,1.0,0.0,3.0
AJ Green,6.4,1.6,0.9,0.0,0.3,0.347,0.75,1.8,1.1,8,21.8,0.4,0.4,4.0,1.8
Jahmai Mashack,6.4,3.1,2.0,0.6,1.1,0.378,0.546,0.7,0.9,7,26.4,0.9,1.7,9.5,3.3
Adem Bona,6.4,5.9,0.9,1.3,0.6,0.5,0.778,0.0,0.9,7,22.9,1.0,2.7,5.0,1.9
Paul Reed,6.3,3.6,0.4,1.0,0.6,0.63,0.643,0.1,0.9,7,9.0,1.3,2.3,1.0,1.6
Marvin Bagley III,6.3,6.7,1.5,0.7,0.2,0.471,0.75,0.5,0.7,6,20.2,0.5,2.2,0.0,2.3
Dru Smith,6.3,3.3,2.7,0.2,2.0,0.516,0.8,0.3,1.2,6,18.8,0.7,2.3,8.7,2.5
Jalen Wilson,6.3,2.0,1.0,0.0,0.3,0.5,0.333,1.5,0.8,4,16.7,0.3,0.8,4.0,2.3
Jock Landale,6.2,2.3,1.2,0.2,0.0,0.5,0.3,0.7,0.2,6,15.3,0.5,1.8,0.0,2.3
Oscar Tshiebwe,6.2,5.0,0.8,0.0,1.0,0.593,0.556,0.0,0.5,6,15.7,0.8,2.7,0.5,1.2
Quenton Jackson,6.2,2.2,3.3,0.0,0.2,0.351,0.875,0.7,1.2,6,17.4,1.2,1.5,2.0,1.2
Ben Sheppard,6.1,2.6,1.6,0.0,0.7,0.462,0.0,1.0,0.9,7,19.7,0.0,1.6,7.0,2.3
Caris LeVert,6.0,2.4,2.0,0.4,1.0,0.306,0.5,1.2,1.4,5,20.0,0.4,1.0,4.2,0.8
Kenrich Williams,6.0,2.7,1.0,0.0,0.0,0.462,1.0,1.0,0.0,3,13.0,1.0,1.0,0.0,1.3
Yanic Konan Niederhauser,6.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1,8.3,2.0,2.0,0.0,0.0
Jase Richardson,6.0,0.0,0.0,0.0,2.0,0.5,1.0,1.0,0.0,1,5.5,1.0,1.0,0.0,0.0
Moussa Cisse,6.0,7.0,1.0,3.0,1.0,0.6,0.0,0.0,0.0,1,25.5,0.0,3.0,0.0,0.0
Sean Pedulla,6.0,1.0,3.0,0.0,0.0,0.5,0.0,2.0,0.0,1,6.0,0.0,0.0,0.0,0.0
Tari Eason,5.9,6.3,1.4,0.3,1.4,0.312,0.667,0.1,1.1,7,26.3,0.3,2.6,6.5,3.4
Jordan Goodwin,5.8,4.4,1.8,0.2,1.0,0.458,0.6,0.8,0.4,5,19.4,0.6,1.4,4.0,2.6
Taurean Prince,5.8,2.0,0.8,0.0,0.6,0.458,0.0,1.4,0.4,5,17.9,0.0,0.8,3.0,2.0
Jericho Sims,5.7,5.4,1.6,0.0,0.3,0.818,0.5,0.0,1.0,7,22.2,0.6,2.6,5.3,2.1
Cason Wallace,5.7,2.8,2.8,0.7,2.3,0.368,1.0,0.3,1.0,6,26.0,0.7,2.0,4.2,1.8
Ja'Kobe Walter,5.7,2.0,1.2,0.2,1.5,0.345,0.8,1.0,0.2,6,18.4,1.3,0.7,0.0,2.7
Clint Capela,5.6,6.0,1.1,1.1,0.7,0.556,0.563,0.0,1.6,7,19.1,1.3,2.1,5.7,2.3
Jamal Cain,5.6,2.4,0.6,0.2,0.2,0.55,0.0,1.2,0.4,5,11.0,0.0,1.0,0.0,1.2
Haywood Highsmith,5.5,2.2,1.2,0.0,0.7,0.5,0.833,1.3,0.0,6,13.4,0.8,0.3,0.0,1.3
DeJon Jarreau,5.5,6.0,4.5,0.0,0.5,0.4,0.75,0.0,2.5,2,23.5,1.5,2.0,4.0,3.0
Moritz Wagner,5.4,4.9,0.9,0.0,0.1,0.255,0.8,0.4,0.8,8,14.2,2.0,1.1,2.5,2.5
Moussa Diabate,5.4,9.1,3.1,1.1,1.1,0.421,0.75,0.0,0.9,7,29.2,0.9,2.3,10.0,2.6
Ron Harper Jr.,5.4,1.0,0.6,0.0,0.2,0.556,0.0,1.4,0.4,5,11.7,0.0,0.6,0.0,0.6
Kris Dunn,5.3,4.6,3.6,0.1,2.1,0.425,0.5,0.9,1.0,8,26.1,0.1,1.3,6.0,2.5
Anthony Gill,5.3,3.0,1.4,0.3,0.6,0.577,0.714,0.3,0.7,7,21.5,0.7,1.9,5.5,3.0
Jalen Slawson,5.3,4.0,2.8,1.3,1.8,0.273,0.833,1.0,1.3,4,22.8,1.3,0.5,1.7,2.5
Patrick Williams,5.3,1.3,1.0,1.3,0.0,0.25,1.0,1.3,2.0,3,20.0,0.7,0.3,2.5,1.7
Jake LaRavia,5.0,3.0,1.7,0.1,0.7,0.345,0.833,0.0,0.9,7,15.6,2.1,1.4,6.0,1.9
Doug McDermott,5.0,1.3,0.7,0.0,0.2,0.345,0.0,1.7,0.3,6,17.3,0.0,0.0,2.0,0.8
Tyler Burton,5.0,4.7,0.7,0.3,1.0,0.167,0.667,1.0,1.7,3,26.0,1.3,0.3,1.0,2.3
Taelon Peter,5.0,1.0,0.3,0.0,0.7,0.417,0.667,1.0,1.0,3,14.0,0.7,0.7,1.0,0.3
Andersson Garcia,5.0,7.7,1.7,0.7,1.7,0.278,1.0,0.3,2.0,3,32.2,1.3,1.3,2.2,3.3
Mo Bamba,5.0,10.0,0.5,1.0,0.0,0.556,0.0,0.0,1.0,2,19.0,0.0,2.5,0.5,2.0
Mohamed Diawara,4.9,1.9,1.1,0.0,0.1,0.357,1.0,0.9,0.8,8,13.8,0.3,1.0,1.0,1.1
Jonas Valanciunas,4.9,3.3,1.0,0.0,0.0,0.565,0.667,0.0,1.0,7,8.2,1.1,1.9,1.5,1.4
Aaron Wiggins,4.8,2.3,0.8,0.2,0.3,0.423,0.625,0.3,0.5,6,15.2,0.8,1.5,0.0,1.2
Dorian Finney-Smith,4.8,3.2,2.6,0.4,1.0,0.429,0.0,1.2,1.0,5,23.6,0.0,0.6,2.3,1.6
Yves Missi,4.7,6.5,1.3,2.3,0.5,0.55,0.667,0.0,1.0,6,20.0,1.0,1.8,5.0,1.2
Nae'Qwan Tomlin,4.7,0.7,0.3,0.0,1.0,0.583,0.0,0.0,1.3,3,11.1,0.0,2.3,0.5,1.7
Luke Kornet,4.6,4.7,1.4,0.6,0.6,0.619,1.0,0.0,0.4,7,17.4,0.9,1.9,3.0,1.9
Andre Drummond,4.6,8.8,2.2,0.0,0.4,0.345,0.667,0.2,1.2,5,22.1,0.4,1.8,5.3,3.2
Jonathan Kuminga,4.5,8.5,1.5,0.0,0.0,0.182,0.556,0.0,2.0,2,19.1,2.5,1.0,1.5,2.0
Kam Jones,4.4,1.6,4.0,0.0,0.8,0.364,0.0,1.2,1.8,5,15.5,0.0,0.4,9.7,1.8
Ryan Nembhard,4.3,2.0,3.9,0.0,0.5,0.389,0.0,0.8,0.9,8,15.3,0.0,1.0,17.2,1.1
Pete Nance,4.3,2.6,0.7,0.3,0.3,0.546,0.0,0.9,0.4,7,15.8,0.0,0.9,2.0,1.4
Gary Trent Jr.,4.3,1.3,0.0,0.0,0.0,0.304,0.0,0.8,0.5,4,11.5,0.0,1.0,0.0,1.3
Kris Murray,4.3,3.3,0.8,0.3,0.5,0.539,0.0,0.8,1.0,4,16.9,0.0,1.0,2.5,0.8
Dennis Schroder,4.2,1.8,3.8,0.2,0.2,0.385,0.75,0.3,0.8,6,19.8,0.5,1.3,14.0,1.8
Sion James,4.1,3.3,1.7,0.3,0.1,0.318,0.818,0.9,0.7,7,18.0,1.3,0.1,9.0,1.7
Vit Krejci,4.0,4.2,2.0,0.0,0.3,0.29,0.0,1.0,0.8,6,17.3,0.0,0.5,6.5,1.0
Ryan Dunn,4.0,3.2,0.7,0.3,0.8,0.556,0.0,0.7,0.0,6,14.1,0.0,1.0,0.0,2.0
E.J. Liddell,4.0,3.4,1.6,1.0,0.4,0.5,0.0,0.4,1.2,5,13.5,0.0,1.4,3.5,2.2
Pacome Dadiet,4.0,1.5,0.3,0.3,0.0,0.429,0.0,1.0,0.5,4,5.4,0.0,0.5,1.0,0.5
Norchad Omier,4.0,1.5,0.5,0.0,0.5,0.8,0.0,0.0,0.0,2,5.7,0.0,2.0,0.0,1.0
Anthony Black,4.0,2.0,1.5,0.0,1.5,0.25,0.5,0.0,0.0,2,12.9,1.0,1.5,0.0,1.5
Jordan Poole,4.0,1.0,2.0,2.0,0.0,0.222,0.0,0.0,1.0,1,18.2,0.0,2.0,2.0,3.0
Jose Alvarado,3.9,0.9,4.0,0.0,0.5,0.379,0.833,0.5,0.8,8,13.6,0.6,0.9,18.5,1.4
Hugo Gonzalez,3.9,2.9,0.7,0.6,0.3,0.435,1.0,0.7,0.4,7,15.2,0.3,0.7,2.0,2.0
Mouhamed Gueye,3.8,2.5,0.2,0.2,0.7,0.615,0.833,0.3,0.0,6,9.8,0.8,1.0,0.0,0.7
Goga Bitadze,3.8,3.2,1.2,0.0,0.0,0.667,0.429,0.0,0.2,6,6.6,0.5,1.7,2.0,0.8
Jamal Shead,3.8,1.8,3.7,0.3,0.7,0.296,0.667,0.5,1.0,6,19.9,0.7,0.8,9.8,2.0
Terrence Shannon Jr.,3.8,0.2,1.2,0.0,0.0,0.467,1.0,0.6,0.2,5,6.6,0.4,0.8,0.0,0.4
Nate Williams,3.7,1.7,0.3,0.0,0.2,0.36,1.0,0.2,0.5,6,10.8,0.5,1.3,1.0,1.3
Sidy Cissoko,3.7,1.7,1.0,0.7,0.7,0.429,0.5,0.5,0.5,6,15.3,0.2,1.0,5.0,1.7
Jordan Walsh,3.7,2.7,0.3,0.0,0.0,0.8,0.5,0.7,0.0,3,9.8,0.3,0.7,0.0,1.0
Khaman Maluach,3.5,3.3,0.3,0.9,0.1,0.632,0.667,0.0,1.0,8,13.6,0.5,1.5,0.5,1.1
Kyle Anderson,3.5,4.2,3.0,0.5,0.3,0.571,0.625,0.0,1.0,6,16.4,0.8,1.3,10.0,2.2
Lindy Waters III,3.5,1.3,1.0,0.0,0.0,0.556,0.0,1.0,0.3,4,7.7,0.0,0.3,2.0,0.5
Tyrese Martin,3.5,1.8,1.0,0.3,0.8,0.4,0.0,0.5,1.8,4,12.4,0.0,1.0,0.8,0.5
Nikola Vucevic,3.5,2.0,0.5,0.5,0.0,0.2,1.0,0.5,0.0,2,9.3,1.0,0.5,0.0,0.5
Kelly Olynyk,3.5,3.0,2.0,0.5,0.5,0.4,1.0,0.5,0.0,2,8.9,1.0,0.5,0.0,0.0
Malachi Smith,3.5,3.5,2.5,1.0,0.5,0.273,1.0,0.0,3.0,2,20.6,0.5,1.5,4.2,1.0
Sharife Cooper,3.4,1.3,2.4,0.0,0.1,0.304,0.818,0.1,1.1,7,11.2,1.3,0.9,8.3,1.0
Josh Okogie,3.4,2.0,1.1,0.1,0.6,0.429,0.0,0.9,0.0,7,12.8,0.0,0.4,0.0,0.7
Matisse Thybulle,3.4,1.4,1.1,0.1,2.1,0.321,0.0,0.9,0.9,7,12.7,0.0,0.4,7.0,2.0
Blake Wesley,3.4,0.0,1.2,0.0,0.2,0.6,0.667,0.6,1.0,5,8.3,0.4,0.6,2.5,1.6
Will Richard,3.3,3.5,1.0,0.0,2.0,0.238,1.0,0.5,1.0,4,30.6,0.3,0.8,1.5,3.3
Ausar Thompson,3.3,2.7,1.7,0.7,0.3,0.333,0.0,0.0,1.0,3,17.9,0.0,1.7,5.0,2.3
Amir Coffey,3.2,1.6,0.0,0.2,0.2,0.625,0.571,0.4,0.0,5,9.2,0.8,0.6,0.0,1.2
Jaylen Clark,3.2,0.2,0.2,0.0,0.0,0.6,1.0,0.6,0.0,5,3.9,0.2,0.6,0.0,0.2
Noah Penda,3.1,3.5,1.5,0.1,1.0,0.375,0.833,0.3,0.5,8,15.4,0.6,0.9,2.5,1.3
Caleb Martin,3.0,2.5,0.5,0.5,0.2,0.375,0.833,0.2,0.8,6,13.4,0.8,0.8,3.0,1.2
Aaron Holiday,3.0,1.0,0.8,0.0,0.8,0.217,1.0,0.0,0.3,4,9.6,0.5,1.3,3.0,0.8
Drew Timme,3.0,1.3,0.3,0.0,0.0,0.8,0.0,0.3,0.3,3,9.8,0.0,1.0,1.0,1.0
Dylan Cardwell,3.0,7.0,1.3,0.0,0.3,0.5,0.25,0.0,0.0,3,15.6,0.3,1.3,0.0,2.3
Larry Nance Jr.,3.0,2.0,0.5,0.0,0.0,1.0,0.0,1.0,0.5,2,5.4,0.0,0.0,0.0,0.5
Gary Harris,3.0,0.0,0.5,0.0,0.5,0.4,0.0,1.0,0.0,2,13.5,0.0,0.0,0.0,1.0
Bez Mbeng,3.0,3.5,3.5,1.5,2.0,0.3,0.0,0.0,3.0,2,33.2,0.0,1.5,2.3,3.0
Alijah Martin,3.0,0.0,0.0,0.0,0.5,1.0,0.75,0.5,0.5,2,2.4,1.5,0.0,0.0,0.0
Antonio Reeves,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,4.6,0.0,0.0,0.0,0.0
Josh Green,2.9,1.6,0.7,0.1,0.6,0.333,1.0,0.7,0.6,7,16.0,0.4,0.1,3.0,1.3
Gabe Vincent,2.8,0.7,1.0,0.0,0.2,0.4,0.0,0.8,0.3,6,10.2,0.0,0.2,0.5,0.7
Malevy Leons,2.7,2.0,0.9,0.6,0.4,0.364,1.0,0.1,0.1,7,11.9,0.3,1.0,0.0,1.7
Nicolas Batum,2.6,1.3,0.7,0.1,0.3,0.462,0.0,0.9,0.0,7,11.2,0.0,0.0,0.0,1.0
Pat Connaughton,2.6,1.4,0.2,0.0,0.6,0.308,0.5,0.8,0.0,5,6.2,0.2,0.0,0.0,0.0
Taj Gibson,2.5,2.5,0.0,0.5,0.5,0.286,0.0,0.5,0.0,2,9.8,0.0,0.5,0.0,1.5
Yang Hansen,2.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,2,2.5,1.5,0.5,0.0,0.0
Tristan Enaruna,2.5,1.0,0.5,0.0,0.5,0.286,0.0,0.5,0.5,2,5.4,0.0,0.5,0.0,0.5
DeAndre Jordan,2.5,4.5,1.5,0.5,0.0,0.333,0.75,0.0,0.0,2,16.3,1.5,0.5,0.0,1.5
Myron Gardner,2.4,4.0,0.9,0.0,0.6,0.4,0.75,0.3,0.7,7,10.7,0.4,0.6,3.0,1.9
Dwight Powell,2.3,3.7,0.7,0.4,0.3,0.833,0.857,0.0,0.7,7,11.1,0.9,0.7,2.0,2.3
Jeff Green,2.3,1.0,0.0,0.0,0.0,0.273,1.0,0.3,0.0,4,5.8,0.5,0.5,0.0,0.8
Julian Phillips,2.3,0.5,0.3,0.3,0.3,0.5,1.0,0.3,0.0,4,4.4,0.5,0.5,0.0,0.0
Jalen Pickett,2.3,0.3,0.7,0.0,0.0,0.4,0.5,0.7,0.3,3,7.4,0.3,0.0,1.0,0.7
Jordan Hawkins,2.3,1.0,0.0,0.0,0.0,0.5,1.0,0.3,0.0,3,2.4,0.7,0.3,0.0,0.0
Tyus Jones,2.0,0.6,1.0,0.0,0.0,0.333,0.0,0.4,0.6,5,7.6,0.0,0.4,0.5,0.0
Jeremy Sochan,2.0,1.3,0.5,0.0,1.0,1.0,0.0,0.0,0.5,4,4.6,0.0,1.0,1.0,0.3
Zeke Nnaji,2.0,2.8,0.5,0.0,0.8,0.273,0.5,0.3,0.8,4,11.9,0.3,0.5,2.0,1.5
Rocco Zikarsky,2.0,1.3,0.0,1.0,0.0,0.6,0.0,0.0,0.0,3,4.1,0.0,1.0,0.0,0.3
Riley Minix,2.0,1.5,1.0,0.0,0.0,0.667,0.0,0.0,0.5,2,5.4,0.0,1.0,0.0,0.5
Jayson Kent,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3.2,0.0,1.0,0.0,0.0
Isaac Jones,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.4,0.0,1.0,0.0,0.0
Brooks Barnhizer,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1,11.7,0.0,1.0,0.0,0.0
Jordan McLaughlin,1.8,0.6,0.6,0.0,0.0,0.6,0.0,0.6,0.0,5,4.0,0.0,0.0,0.0,0.0
Jarred Vanderbilt,1.8,3.4,1.2,0.2,0.2,0.364,0.0,0.2,0.2,5,12.0,0.0,0.6,3.0,1.6
Isaiah Crawford,1.7,1.3,0.3,0.0,0.0,0.2,0.75,0.0,0.0,3,6.3,1.0,0.3,0.0,0.3
Craig Porter Jr.,1.7,2.3,1.3,0.0,0.3,0.667,0.0,0.3,1.0,3,11.3,0.0,0.3,1.5,0.3
Lachlan Olbrich,1.6,1.2,0.6,0.2,0.4,0.5,0.0,0.0,0.8,5,5.5,0.0,0.8,2.5,0.6
Yuki Kawamura,1.6,0.8,1.6,0.0,0.0,0.4,1.0,0.2,1.0,5,7.3,0.6,0.2,6.7,0.8
Jamison Battle,1.6,1.8,0.4,0.0,0.2,0.375,0.0,0.4,0.2,5,8.4,0.0,0.2,1.0,0.4
Cam Christie,1.5,1.5,0.8,0.0,0.3,0.2,0.5,0.0,0.0,4,5.7,0.5,0.5,0.0,0.3
Garrett Temple,1.5,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,2,3.7,1.5,0.0,0.0,0.0
Tyler Smith,1.5,1.0,0.0,0.0,0.5,0.167,0.5,0.0,1.0,2,5.3,0.5,0.5,0.0,0.0
Dalton Knecht,1.5,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.5,2,2.8,0.0,0.0,1.0,0.0
Jahmir Young,1.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,2,2.2,0.5,0.5,0.0,0.5
Bobi Klintman,1.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.5,2,2.6,0.0,0.0,2.0,0.0
Tyler Kolek,1.3,0.8,3.8,0.3,0.5,0.333,0.0,0.3,0.0,4,8.8,0.0,0.3,0.0,0.0
AJ Johnson,1.2,0.6,0.4,0.2,0.0,0.333,0.0,0.0,0.2,5,5.8,0.0,0.6,1.0,0.6
Andre Jackson Jr.,1.0,1.2,0.2,0.0,0.0,0.333,0.0,0.2,0.4,5,3.8,0.0,0.2,1.0,0.2
Jonathan Mogbo,1.0,1.5,0.8,0.3,0.3,1.0,0.0,0.0,0.8,4,5.8,0.0,0.5,2.0,1.3
John Konchar,1.0,5.0,2.5,0.8,2.3,0.111,0.5,0.0,0.5,4,28.6,0.5,0.3,2.0,3.3
Micah Peavy,1.0,0.5,0.3,0.0,0.0,0.25,0.5,0.0,0.3,4,2.0,0.5,0.3,1.0,0.3
Thanasis Antetokounmpo,1.0,1.0,0.3,0.5,0.5,0.5,0.5,0.0,0.3,4,4.0,0.5,0.3,1.0,0.0
Christian Koloko,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,2,2.2,0.0,0.5,0.0,0.0
David Roddy,1.0,2.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,2,6.1,1.0,0.0,0.0,1.0
Omer Yurtseven,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,2,7.4,1.0,0.0,0.0,1.5
Trayce Jackson-Davis,1.0,4.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,2,3.5,0.0,0.5,0.0,0.0
Keaton Wallace,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,2,2.2,0.0,0.5,0.0,0.0
Kevin McCullar Jr.,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,2,2.3,0.0,0.5,0.0,0.0
Kobe Bufkin,1.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,2,2.8,0.0,0.5,0.0,1.0
Chaz Lanier,0.8,0.0,0.3,0.0,0.0,0.125,0.0,0.3,0.0,4,5.0,0.0,0.0,0.0,1.0
Joe Ingles,0.7,0.3,1.3,0.0,0.0,1.0,0.0,0.0,0.3,3,3.9,0.0,0.3,3.0,0.0
Xavier Tillman Sr.,0.7,2.0,1.0,0.3,0.0,0.333,0.0,0.0,0.0,3,7.0,0.0,0.3,0.0,0.7
Tre Mann,0.7,0.0,0.3,0.0,0.7,0.0,1.0,0.0,0.3,3,3.2,0.7,0.0,0.0,0.7
TyTy Washington Jr.,0.7,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.7,3,3.3,0.0,0.3,0.5,0.3
Amari Williams,0.7,0.3,0.3,0.0,0.0,1.0,0.0,0.0,0.3,3,1.7,0.0,0.3,0.0,0.0
Kyle Lowry,0.5,1.3,0.8,0.0,0.0,0.0,1.0,0.0,0.3,4,9.2,0.5,0.0,2.0,1.0
Ariel Hukporti,0.5,1.8,0.5,0.3,0.3,0.5,0.0,0.0,1.0,4,10.3,0.0,0.3,0.0,1.5
Mason Plumlee,0.3,2.0,0.3,0.0,0.7,0.0,0.5,0.0,0.0,3,4.8,0.3,0.0,0.0,1.3
Bismack Biyombo,0.3,1.7,0.0,0.0,0.0,0.0,0.5,0.0,0.3,3,4.3,0.3,0.0,0.0,0.7
D'Angelo Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Isaiah Livers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.1,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Zach LaVine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Keshon Gilbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Grant Nelson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.0,0.0,0.0
Payton Sandfort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Domantas Sabonis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Buddy Hield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Josh Oduro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Terry Rozier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Kevon Looney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Bogdan Bogdanovic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Mike Conley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Paul George,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Stephen Curry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Kyrie Irving,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Jimmy Butler III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Joel Embiid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Bradley Beal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Damian Lillard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Jusuf Nurkic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Kentavious Caldwell-Pope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Steven Adams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Chris Youngblood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Dillon Brooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Fred VanVleet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Tyrese Haliburton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Patrick Baldwin Jr.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.9,0.0,0.0,0.0,1.0
Vince Williams Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Caleb Houstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.2,0.0,0.0,0.0,0.5
Wendell Moore Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Alex Morales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Cam Whitmore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Dereck Lively II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Zach Edey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Nick Smith Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Tosan Evbuomwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Trey Jemison III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
